SID,RTms,fbank_likelihood_dist,SAME_SPEAKER,RESPONSE,LABEL
CMU_13,780,17.949933,0,1,3
CMU_13,489,18.590154,0,1,3
CMU_13,288,17.558613,0,1,3
CMU_13,548,17.222867,0,1,3
CMU_13,325,16.578947,0,1,3
CMU_13,437,17.621713,0,1,3
CMU_13,-5808,1000.000000,1,1,0
CMU_13,360,16.329115,0,1,3
CMU_13,776,17.634988,0,1,3
CMU_13,612,18.280095,0,1,3
CMU_13,-5582,1000.000000,1,1,0
CMU_13,-70,1000.000000,0,0,1
CMU_13,339,16.105314,0,1,3
CMU_13,536,17.938665,0,1,3
CMU_13,442,19.341214,0,1,3
CMU_13,534,17.546366,0,1,3
CMU_13,582,17.436487,0,1,3
CMU_13,458,17.600248,0,1,3
CMU_13,663,18.235644,0,1,3
CMU_13,-6539,1000.000000,1,1,0
CMU_13,532,18.756893,0,1,3
CMU_13,-5903,1000.000000,1,1,0
CMU_13,353,18.809908,0,1,3
CMU_13,359,17.273124,0,1,3
CMU_13,375,16.006171,0,1,3
CMU_13,629,17.514762,0,1,3
CMU_13,778,18.799501,0,1,3
CMU_13,205,1000.000000,0,0,1
CMU_13,653,18.845078,0,1,3
CMU_13,396,18.653602,0,1,3
CMU_13,376,17.320864,0,1,3
CMU_13,-6169,1000.000000,1,1,0
CMU_13,648,18.793445,0,1,3
CMU_13,-6076,1000.000000,1,1,0
CMU_13,685,17.359148,1,0,1
CMU_13,334,16.345431,0,1,3
CMU_13,826,18.662108,0,1,3
CMU_13,321,19.325967,0,1,3
CMU_13,81,1000.000000,1,0,1
CMU_13,364,17.102980,0,1,3
CMU_13,444,17.705386,0,1,3
CMU_13,378,18.313333,0,1,3
CMU_13,221,1000.000000,0,0,1
CMU_13,285,15.634305,0,1,3
CMU_13,645,17.421580,0,1,3
CMU_13,-6529,1000.000000,1,1,0
CMU_13,482,19.303276,0,1,3
CMU_13,442,16.727101,0,1,3
CMU_13,-4485,1000.000000,1,0,1
CMU_13,299,16.297165,0,1,3
CMU_13,266,16.706535,0,1,3
CMU_13,1120,18.834654,0,1,3
CMU_13,391,18.144175,0,1,3
CMU_13,423,17.700741,0,1,3
CMU_13,546,21.934068,1,0,1
CMU_13,609,17.820552,0,1,3
CMU_13,682,18.281610,0,1,3
CMU_13,400,17.274417,0,1,3
CMU_13,500,17.209495,0,1,3
CMU_13,406,17.968982,0,1,3
CMU_13,471,16.710310,0,1,3
CMU_13,627,17.619665,0,1,3
CMU_13,-5637,1000.000000,1,1,0
CMU_13,427,17.002484,0,1,3
CMU_13,-5747,1000.000000,1,1,0
CMU_13,566,18.348000,0,1,3
CMU_13,609,21.917331,0,1,3
CMU_13,322,16.336926,0,1,3
CMU_13,325,18.404111,0,1,3
CMU_13,283,16.496394,0,1,3
CMU_13,380,16.278800,0,1,3
CMU_13,365,16.556494,0,1,3
CMU_13,737,18.274622,0,1,3
CMU_13,549,17.565714,0,1,3
CMU_13,466,20.101767,0,1,3
CMU_13,-7141,1000.000000,1,1,0
CMU_13,373,17.254857,1,0,1
CMU_13,446,18.240619,0,1,3
CMU_13,-5499,1000.000000,1,1,0
CMU_13,613,17.487304,0,1,3
CMU_13,297,17.254926,0,1,3
CMU_13,326,18.196245,0,1,3
CMU_13,293,16.596235,0,1,3
CMU_13,484,16.639909,0,1,3
CMU_13,540,18.949970,0,1,3
CMU_13,343,17.299205,0,1,3
CMU_13,265,16.165797,1,0,1
CMU_13,644,18.714391,0,1,3
CMU_13,655,17.064745,0,1,3
CMU_13,-126,1000.000000,1,0,1
CMU_13,373,17.828328,0,1,3
CMU_13,813,19.508657,0,1,3
CMU_13,402,17.936864,0,1,3
CMU_13,222,1000.000000,0,0,1
CMU_13,371,17.572946,0,1,3
CMU_13,643,21.232712,0,1,3
CMU_13,485,19.951287,1,0,1
CMU_13,339,18.030259,0,1,3
CMU_13,446,19.433945,0,1,3
CMU_13,415,18.232743,0,1,3
CMU_13,368,19.232579,0,1,3
CMU_13,595,19.107709,0,1,3
CMU_13,345,16.966528,0,1,3
CMU_13,-5878,1000.000000,1,1,0
CMU_13,784,17.403455,0,1,3
CMU_13,381,16.861363,0,1,3
CMU_13,139,1000.000000,0,0,1
CMU_13,836,21.129751,0,1,3
CMU_13,374,17.649238,0,1,3
CMU_13,380,18.586779,0,1,3
CMU_13,591,20.360291,0,1,3
CMU_13,287,19.433472,1,0,1
CMU_13,472,17.613630,1,0,1
CMU_13,648,18.592786,0,1,3
CMU_13,726,18.157180,0,1,3
CMU_13,617,17.663803,0,1,3
CMU_13,258,16.527059,0,1,3
CMU_13,696,20.571186,0,1,3
CMU_13,313,17.275936,1,0,1
CMU_13,-5431,1000.000000,1,1,0
CMU_13,557,18.177529,1,0,1
CMU_13,553,18.172036,0,1,3
CMU_13,428,16.949267,0,1,3
CMU_13,424,16.727817,0,1,3
CMU_13,560,18.498253,0,1,3
CMU_13,2814,16.827704,1,1,0
CMU_13,361,15.860711,0,1,3
CMU_13,401,17.371590,0,1,3
CMU_13,462,17.669826,0,1,3
CMU_13,498,16.953247,0,1,3
CMU_13,266,15.628749,0,1,3
CMU_13,675,16.280074,0,1,3
CMU_13,179,1000.000000,1,0,1
CMU_13,495,17.561052,0,1,3
CMU_13,678,19.075399,0,1,3
CMU_13,476,15.824010,0,1,3
CMU_13,424,16.971056,0,1,3
CMU_13,255,16.153644,0,1,3
CMU_13,636,16.490059,0,1,3
CMU_13,376,16.231375,0,1,3
CMU_13,416,16.815256,0,1,3
CMU_13,-5832,1000.000000,1,1,0
CMU_13,719,17.588364,0,1,3
CMU_13,539,17.898528,0,1,3
CMU_13,746,17.659222,0,1,3
CMU_13,334,17.591688,0,1,3
CMU_13,-5233,1000.000000,1,1,0
CMU_13,634,17.920422,0,1,3
CMU_13,429,17.592996,0,1,3
CMU_13,-5754,1000.000000,1,1,0
CMU_13,432,15.715529,0,1,3
CMU_13,592,16.806499,0,1,3
CMU_13,100,1000.000000,1,0,1
CMU_13,433,17.481486,0,1,3
CMU_13,86,1000.000000,0,0,1
CMU_13,422,17.203348,0,1,3
CMU_13,-5769,1000.000000,1,1,0
CMU_13,375,17.143138,0,1,3
CMU_13,413,17.796333,0,1,3
CMU_13,516,15.876033,0,1,3
CMU_13,-5903,1000.000000,1,1,0
CMU_13,-2683,1000.000000,0,0,1
CMU_13,398,17.496787,0,1,3
CMU_13,-1172,1000.000000,0,0,1
CMU_13,545,18.124963,0,1,3
CMU_13,427,17.559235,0,1,3
CMU_13,-6662,1000.000000,1,1,0
CMU_13,407,16.426898,0,1,3
CMU_13,1610,18.600701,1,0,1
CMU_13,365,17.064644,0,1,3
CMU_13,570,17.278120,0,1,3
CMU_13,373,18.384532,0,1,3
CMU_13,-7463,1000.000000,1,1,0
CMU_13,491,16.681689,0,1,3
CMU_13,403,17.043874,0,1,3
CMU_13,238,16.384625,0,1,3
CMU_13,563,17.245881,0,1,3
CMU_13,58,1000.000000,0,0,1
CMU_13,242,16.062362,0,1,3
CMU_13,582,17.275823,0,1,3
CMU_13,429,17.465292,0,1,3
CMU_13,1537,18.551581,0,1,3
CMU_13,-5860,1000.000000,1,1,0
CMU_13,-5185,1000.000000,1,1,0
CMU_13,361,16.516641,0,1,3
CMU_13,468,16.629737,0,1,3
CMU_13,972,17.314679,0,1,3
CMU_13,420,16.153619,0,1,3
CMU_13,-6385,1000.000000,1,1,0
CMU_13,248,16.441105,0,1,3
CMU_13,316,16.841789,0,1,3
CMU_13,324,16.581571,0,1,3
CMU_13,747,18.155280,0,1,3
CMU_13,767,17.867381,0,1,3
CMU_13,426,18.598926,0,1,3
CMU_13,431,17.329265,1,0,1
CMU_13,328,16.695160,0,1,3
CMU_13,452,17.287267,0,1,3
CMU_13,609,17.825142,0,1,3
CMU_13,345,17.128876,0,1,3
CMU-14,697,17.874566,0,1,3
CMU-14,950,19.041973,0,1,3
CMU-14,511,17.517862,0,1,3
CMU-14,906,17.566436,0,1,3
CMU-14,530,16.835979,0,1,3
CMU-14,518,17.689943,0,1,3
CMU-14,-5808,1000.000000,1,1,0
CMU-14,711,15.781337,0,1,3
CMU-14,679,18.323060,0,1,3
CMU-14,959,19.722416,0,1,3
CMU-14,-5582,1000.000000,1,1,0
CMU-14,549,17.362027,0,1,3
CMU-14,859,17.040699,0,1,3
CMU-14,1205,18.818748,0,1,3
CMU-14,900,19.262863,0,1,3
CMU-14,694,16.938165,0,1,3
CMU-14,714,16.487133,0,1,3
CMU-14,595,17.511981,0,1,3
CMU-14,924,19.647041,0,1,3
CMU-14,-6539,1000.000000,1,1,0
CMU-14,663,19.110952,0,1,3
CMU-14,-5903,1000.000000,1,1,0
CMU-14,511,18.045781,0,1,3
CMU-14,1019,19.404435,0,1,3
CMU-14,741,17.166733,0,1,3
CMU-14,847,18.565298,0,1,3
CMU-14,925,18.439800,0,1,3
CMU-14,470,18.230550,0,1,3
CMU-14,673,18.819976,0,1,3
CMU-14,747,18.498069,0,1,3
CMU-14,503,17.019913,0,1,3
CMU-14,-6169,1000.000000,1,1,0
CMU-14,624,18.839163,0,1,3
CMU-14,-6076,1000.000000,1,1,0
CMU-14,1756,17.962641,1,0,1
CMU-14,692,16.509444,0,1,3
CMU-14,723,19.043392,0,1,3
CMU-14,758,18.837939,0,1,3
CMU-14,-5637,1000.000000,1,1,0
CMU-14,699,17.977362,0,1,3
CMU-14,939,17.803017,0,1,3
CMU-14,936,18.562479,0,1,3
CMU-14,1106,18.542083,0,1,3
CMU-14,75,1000.000000,0,0,1
CMU-14,553,17.519713,0,1,3
CMU-14,-6529,1000.000000,1,1,0
CMU-14,734,18.378908,0,1,3
CMU-14,1280,18.258139,0,1,3
CMU-14,-5735,1000.000000,1,1,0
CMU-14,1159,18.297418,0,1,3
CMU-14,425,17.327191,0,1,3
CMU-14,831,19.623753,0,1,3
CMU-14,567,17.106816,0,1,3
CMU-14,500,17.597180,0,1,3
CMU-14,356,16.481896,1,0,1
CMU-14,1098,16.838042,0,1,3
CMU-14,383,18.237207,0,1,3
CMU-14,674,16.897835,0,1,3
CMU-14,750,17.624279,0,1,3
CMU-14,687,18.167132,0,1,3
CMU-14,483,16.609303,0,1,3
CMU-14,428,17.581603,0,1,3
CMU-14,-5637,1000.000000,1,1,0
CMU-14,-4602,1000.000000,0,0,1
CMU-14,-5747,1000.000000,1,1,0
CMU-14,823,18.915326,0,1,3
CMU-14,930,22.055597,0,1,3
CMU-14,354,17.169547,0,1,3
CMU-14,465,18.164011,0,1,3
CMU-14,546,17.236690,0,1,3
CMU-14,400,16.998386,0,1,3
CMU-14,722,17.207855,0,1,3
CMU-14,527,18.128774,0,1,3
CMU-14,652,17.142845,0,1,3
CMU-14,476,20.132981,0,1,3
CMU-14,-7141,1000.000000,1,1,0
CMU-14,-6991,1000.000000,1,1,0
CMU-14,764,17.423060,0,1,3
CMU-14,-5499,1000.000000,1,1,0
CMU-14,582,17.227427,0,1,3
CMU-14,743,18.129114,0,1,3
CMU-14,591,18.212221,0,1,3
CMU-14,536,19.109423,0,1,3
CMU-14,580,17.443376,0,1,3
CMU-14,738,19.119505,0,1,3
CMU-14,800,17.841230,0,1,3
CMU-14,1033,16.588335,1,0,1
CMU-14,857,18.372924,0,1,3
CMU-14,1105,16.871145,0,1,3
CMU-14,-6495,1000.000000,1,1,0
CMU-14,672,18.849130,0,1,3
CMU-14,1116,19.585262,0,1,3
CMU-14,1021,18.627425,0,1,3
CMU-14,1218,18.190355,0,1,3
CMU-14,669,16.996297,0,1,3
CMU-14,591,18.764188,0,1,3
CMU-14,695,20.317286,1,0,1
CMU-14,710,19.547915,0,1,3
CMU-14,570,19.221503,0,1,3
CMU-14,788,17.700042,0,1,3
CMU-14,950,19.101376,0,1,3
CMU-14,713,19.063344,0,1,3
CMU-14,-5274,1000.000000,0,0,1
CMU-14,1643,18.370254,1,0,1
CMU-14,1145,17.465935,0,1,3
CMU-14,649,17.871153,0,1,3
CMU-14,1648,18.533829,0,1,3
CMU-14,632,21.069925,0,1,3
CMU-14,2667,18.662390,0,0,2
CMU-14,697,19.402351,0,1,3
CMU-14,694,20.051781,0,1,3
CMU-14,1034,19.700604,1,0,1
CMU-14,712,18.111630,1,0,1
CMU-14,667,18.815224,0,1,3
CMU-14,533,18.548714,0,1,3
CMU-14,707,17.534886,0,1,3
CMU-14,799,18.132374,0,1,3
CMU-14,704,19.396966,0,1,3
CMU-14,-5530,1000.000000,1,1,0
CMU-14,-5431,1000.000000,1,1,0
CMU-14,1109,17.788371,1,0,1
CMU-14,789,19.112208,0,1,3
CMU-14,587,16.486708,0,1,3
CMU-14,803,18.285848,0,1,3
CMU-14,610,18.211852,0,1,3
CMU-14,-6790,1000.000000,1,1,0
CMU-14,1076,16.853795,0,1,3
CMU-14,656,16.569904,0,1,3
CMU-14,1198,17.025663,0,1,3
CMU-14,464,16.990215,0,1,3
CMU-14,737,16.794854,0,1,3
CMU-14,968,16.787531,0,1,3
CMU-14,-5355,1000.000000,1,1,0
CMU-14,651,17.331431,0,1,3
CMU-14,322,16.949668,0,1,3
CMU-14,664,16.547206,0,1,3
CMU-14,1089,17.006168,0,1,3
CMU-14,407,18.165103,0,1,3
CMU-14,749,16.020655,0,1,3
CMU-14,675,17.120659,0,1,3
CMU-14,843,17.671331,0,1,3
CMU-14,-5832,1000.000000,1,1,0
CMU-14,745,17.806288,0,1,3
CMU-14,660,18.465850,0,1,3
CMU-14,704,18.529808,0,1,3
CMU-14,469,17.708819,0,1,3
CMU-14,-5233,1000.000000,1,1,0
CMU-14,729,17.649073,0,1,3
CMU-14,997,17.897295,0,1,3
CMU-14,-5754,1000.000000,1,1,0
CMU-14,598,16.463045,0,1,3
CMU-14,715,16.376455,0,1,3
CMU-14,-6387,1000.000000,1,1,0
CMU-14,772,18.506768,0,1,3
CMU-14,511,17.520949,0,1,3
CMU-14,993,18.355008,0,1,3
CMU-14,-5769,1000.000000,1,1,0
CMU-14,660,18.092478,0,1,3
CMU-14,727,18.755710,0,1,3
CMU-14,1038,16.461984,0,1,3
CMU-14,-5903,1000.000000,1,1,0
CMU-14,1129,19.095276,0,1,3
CMU-14,899,17.251450,0,1,3
CMU-14,1089,17.736248,0,1,3
CMU-14,774,17.845247,0,1,3
CMU-14,668,18.026089,0,1,3
CMU-14,-6662,1000.000000,1,1,0
CMU-14,403,16.836845,0,1,3
CMU-14,755,18.794414,1,0,1
CMU-14,289,16.664312,0,1,3
CMU-14,726,17.574803,0,1,3
CMU-14,766,17.585694,0,1,3
CMU-14,-7463,1000.000000,1,1,0
CMU-14,745,16.778340,0,1,3
CMU-14,1068,16.890934,0,1,3
CMU-14,518,16.689083,0,1,3
CMU-14,1313,17.107047,0,1,3
CMU-14,639,17.146594,0,1,3
CMU-14,527,17.831311,0,1,3
CMU-14,476,16.934173,0,1,3
CMU-14,663,17.923535,0,1,3
CMU-14,859,18.296820,0,1,3
CMU-14,-5860,1000.000000,1,1,0
CMU-14,-5185,1000.000000,1,1,0
CMU-14,1225,17.227534,0,1,3
CMU-14,738,16.724368,0,1,3
CMU-14,628,18.216419,0,1,3
CMU-14,489,16.538365,0,1,3
CMU-14,-6385,1000.000000,1,1,0
CMU-14,958,17.932455,0,1,3
CMU-14,838,16.666455,0,1,3
CMU-14,690,17.424235,0,1,3
CMU-14,842,18.644046,0,1,3
CMU-14,717,17.618126,0,1,3
CMU-14,810,17.097161,0,1,3
CMU-14,-6213,1000.000000,1,1,0
CMU-14,693,18.664962,0,1,3
CMU-14,1002,17.669074,0,1,3
CMU-14,573,18.178407,0,1,3
CMU-14,636,16.948486,0,1,3
cmu_15,606,18.467943,0,1,3
cmu_15,520,17.844878,0,1,3
cmu_15,234,17.811529,0,1,3
cmu_15,696,19.132082,0,1,3
cmu_15,553,17.152799,0,1,3
cmu_15,817,18.308089,0,1,3
cmu_15,-5808,1000.000000,1,1,0
cmu_15,532,16.509354,0,1,3
cmu_15,2489,19.432724,0,0,2
cmu_15,719,17.348398,0,1,3
cmu_15,-5582,1000.000000,1,1,0
cmu_15,931,18.138085,0,1,3
cmu_15,571,17.107812,0,1,3
cmu_15,799,16.844721,0,1,3
cmu_15,882,20.151197,0,1,3
cmu_15,524,17.666904,0,1,3
cmu_15,-484,1000.000000,0,0,1
cmu_15,654,18.722980,0,1,3
cmu_15,-6271,1000.000000,0,0,1
cmu_15,-6539,1000.000000,1,1,0
cmu_15,527,18.387496,0,1,3
cmu_15,34,1000.000000,1,0,1
cmu_15,376,17.645090,0,1,3
cmu_15,469,18.557790,0,1,3
cmu_15,-5074,1000.000000,0,0,1
cmu_15,857,19.981286,0,1,3
cmu_15,814,18.913228,0,1,3
cmu_15,214,1000.000000,0,0,1
cmu_15,711,18.816957,0,1,3
cmu_15,746,19.101672,0,1,3
cmu_15,292,16.671869,0,1,3
cmu_15,-6169,1000.000000,1,1,0
cmu_15,1900,18.599429,0,1,3
cmu_15,-6076,1000.000000,1,1,0
cmu_15,-5710,1000.000000,1,1,0
cmu_15,987,16.252287,0,1,3
cmu_15,665,19.575665,0,1,3
cmu_15,916,17.719091,0,1,3
cmu_15,-5637,1000.000000,1,1,0
cmu_15,742,18.356173,0,1,3
cmu_15,937,17.949091,0,1,3
cmu_15,318,18.728443,0,1,3
cmu_15,-6408,1000.000000,0,0,1
cmu_15,616,18.091632,0,1,3
cmu_15,370,17.016045,0,1,3
cmu_15,-6529,1000.000000,1,1,0
cmu_15,75,1000.000000,0,0,1
cmu_15,609,17.332063,0,1,3
cmu_15,-5735,1000.000000,1,1,0
cmu_15,610,17.517598,0,1,3
cmu_15,266,16.071143,0,1,3
cmu_15,4672,19.176007,0,0,2
cmu_15,1022,19.774967,0,1,3
cmu_15,1425,18.564194,0,1,3
cmu_15,345,16.345400,1,0,1
cmu_15,1040,17.370117,0,1,3
cmu_15,-1197,1000.000000,0,0,1
cmu_15,932,17.140055,0,1,3
cmu_15,746,17.656428,0,1,3
cmu_15,834,17.994058,0,1,3
cmu_15,836,16.798254,0,1,3
cmu_15,475,17.508961,0,1,3
cmu_15,-5637,1000.000000,1,1,0
cmu_15,673,17.674565,0,1,3
cmu_15,-5747,1000.000000,1,1,0
cmu_15,940,19.560855,0,1,3
cmu_15,658,21.461483,0,1,3
cmu_15,879,16.939071,0,1,3
cmu_15,652,17.321312,0,1,3
cmu_15,400,17.203262,0,1,3
cmu_15,856,17.674936,0,1,3
cmu_15,714,16.833958,0,1,3
cmu_15,622,18.324010,0,1,3
cmu_15,699,16.936923,0,1,3
cmu_15,3016,19.961112,0,0,2
cmu_15,-7141,1000.000000,1,1,0
cmu_15,190,1000.000000,1,0,1
cmu_15,779,18.034707,0,1,3
cmu_15,-5499,1000.000000,1,1,0
cmu_15,677,17.490218,0,1,3
cmu_15,686,17.958137,0,1,3
cmu_15,394,18.515289,0,1,3
cmu_15,1715,17.271047,0,1,3
cmu_15,454,16.639132,0,1,3
cmu_15,210,1000.000000,0,0,1
cmu_15,1093,17.489747,0,1,3
cmu_15,184,1000.000000,1,0,1
cmu_15,607,18.709797,0,1,3
cmu_15,1197,16.842858,0,1,3
cmu_15,410,18.511337,1,0,1
cmu_15,608,17.996191,0,1,3
cmu_15,974,19.387927,0,1,3
cmu_15,1352,19.020882,0,1,3
cmu_15,635,16.682867,0,1,3
cmu_15,946,17.867410,0,1,3
cmu_15,889,21.011445,0,1,3
cmu_15,-5900,1000.000000,1,1,0
cmu_15,372,18.729417,0,1,3
cmu_15,1031,18.748820,0,1,3
cmu_15,1062,17.782218,0,1,3
cmu_15,-6419,1000.000000,0,0,1
cmu_15,1913,18.880563,0,1,3
cmu_15,867,18.122220,0,1,3
cmu_15,-5878,1000.000000,1,1,0
cmu_15,2226,17.801403,0,0,2
cmu_15,883,17.717644,0,1,3
cmu_15,1885,17.813554,0,1,3
cmu_15,835,19.312043,0,1,3
cmu_15,889,17.629024,0,1,3
cmu_15,916,19.039244,0,1,3
cmu_15,1177,19.805251,0,1,3
cmu_15,-4560,1000.000000,1,0,1
cmu_15,390,17.511367,1,0,1
cmu_15,751,17.990262,0,1,3
cmu_15,400,17.629338,0,1,3
cmu_15,1546,18.422035,0,1,3
cmu_15,109,1000.000000,0,0,1
cmu_15,1521,21.134510,0,1,3
cmu_15,-5530,1000.000000,1,1,0
cmu_15,-5431,1000.000000,1,1,0
cmu_15,618,17.979217,1,0,1
cmu_15,710,18.649990,0,1,3
cmu_15,1046,18.257086,0,1,3
cmu_15,1216,19.645928,0,1,3
cmu_15,957,17.723017,0,1,3
cmu_15,-6790,1000.000000,1,1,0
cmu_15,383,16.285208,0,1,3
cmu_15,1434,17.309225,0,1,3
cmu_15,400,17.489371,0,1,3
cmu_15,609,16.759996,0,1,3
cmu_15,790,16.726562,0,1,3
cmu_15,-4694,1000.000000,0,0,1
cmu_15,-5355,1000.000000,1,1,0
cmu_15,1978,17.251115,0,1,3
cmu_15,3024,18.329009,0,0,2
cmu_15,61,1000.000000,0,0,1
cmu_15,746,16.567779,0,1,3
cmu_15,452,18.557297,0,1,3
cmu_15,609,16.483853,0,1,3
cmu_15,437,16.305835,0,1,3
cmu_15,1160,18.450355,0,1,3
cmu_15,-5832,1000.000000,1,1,0
cmu_15,619,17.746364,0,1,3
cmu_15,408,18.416482,0,1,3
cmu_15,821,18.374175,0,1,3
cmu_15,743,18.009302,0,1,3
cmu_15,-5233,1000.000000,1,1,0
cmu_15,3380,18.672913,0,0,2
cmu_15,935,18.219394,0,1,3
cmu_15,-5754,1000.000000,1,1,0
cmu_15,799,16.122013,0,1,3
cmu_15,-6357,1000.000000,0,0,1
cmu_15,-6387,1000.000000,1,1,0
cmu_15,464,16.915038,0,1,3
cmu_15,473,17.658737,0,1,3
cmu_15,901,17.873986,0,1,3
cmu_15,1964,17.540926,1,0,1
cmu_15,1386,16.952082,0,1,3
cmu_15,1183,18.861576,0,1,3
cmu_15,1104,17.004185,0,1,3
cmu_15,-5903,1000.000000,1,1,0
cmu_15,2410,18.352339,0,0,2
cmu_15,1025,17.602393,0,1,3
cmu_15,951,17.630855,0,1,3
cmu_15,928,17.838671,0,1,3
cmu_15,890,17.559524,0,1,3
cmu_15,-6662,1000.000000,1,1,0
cmu_15,319,16.954982,0,1,3
cmu_15,-5676,1000.000000,1,1,0
cmu_15,602,19.566956,0,1,3
cmu_15,734,17.269696,0,1,3
cmu_15,947,18.027019,0,1,3
cmu_15,-7463,1000.000000,1,1,0
cmu_15,-4055,1000.000000,0,0,1
cmu_15,2454,17.968200,0,0,2
cmu_15,620,16.812451,0,1,3
cmu_15,1162,16.855125,0,1,3
cmu_15,938,17.517785,0,1,3
cmu_15,773,18.343145,0,1,3
cmu_15,-2518,1000.000000,0,0,1
cmu_15,591,18.326642,0,1,3
cmu_15,2041,17.171179,0,0,2
cmu_15,-5860,1000.000000,1,1,0
cmu_15,-5185,1000.000000,1,1,0
cmu_15,699,17.610523,0,1,3
cmu_15,583,16.999314,0,1,3
cmu_15,2180,17.593064,0,0,2
cmu_15,735,16.839700,0,1,3
cmu_15,-6385,1000.000000,1,1,0
cmu_15,-6204,1000.000000,0,0,1
cmu_15,1200,17.278581,0,1,3
cmu_15,713,17.312868,0,1,3
cmu_15,723,17.402237,0,1,3
cmu_15,743,18.662299,0,1,3
cmu_15,573,17.892035,0,1,3
cmu_15,869,17.851220,1,0,1
cmu_15,974,18.412476,0,1,3
cmu_15,979,17.718472,0,1,3
cmu_15,832,17.455940,0,1,3
cmu_15,1017,17.472059,0,1,3
CMU_16,1019,17.332237,0,1,3
CMU_16,524,17.917265,0,1,3
CMU_16,484,18.474625,0,1,3
CMU_16,598,17.730251,0,1,3
CMU_16,401,16.882527,0,1,3
CMU_16,401,17.560861,0,1,3
CMU_16,-5808,1000.000000,1,1,0
CMU_16,387,16.325819,0,1,3
CMU_16,1774,21.475519,0,1,3
CMU_16,548,17.867143,0,1,3
CMU_16,-5582,1000.000000,1,1,0
CMU_16,618,17.569305,0,1,3
CMU_16,494,17.553821,0,1,3
CMU_16,379,17.490229,0,1,3
CMU_16,666,20.304394,0,1,3
CMU_16,618,16.881581,0,1,3
CMU_16,686,16.792425,0,1,3
CMU_16,427,17.898182,0,1,3
CMU_16,434,17.519855,0,1,3
CMU_16,-6539,1000.000000,1,1,0
CMU_16,611,19.240464,0,1,3
CMU_16,502,18.309997,1,0,1
CMU_16,496,17.863803,0,1,3
CMU_16,918,18.495588,0,1,3
CMU_16,664,17.458110,0,1,3
CMU_16,484,17.291986,0,1,3
CMU_16,597,19.237924,0,1,3
CMU_16,38,1000.000000,0,0,1
CMU_16,706,18.822394,0,1,3
CMU_16,443,18.516372,0,1,3
CMU_16,378,16.926178,0,1,3
CMU_16,-6169,1000.000000,1,1,0
CMU_16,656,18.595604,0,1,3
CMU_16,-6076,1000.000000,1,1,0
CMU_16,484,17.325414,1,0,1
CMU_16,633,16.427666,0,1,3
CMU_16,520,18.889819,0,1,3
CMU_16,378,20.508320,0,1,3
CMU_16,-5637,1000.000000,1,1,0
CMU_16,231,17.160927,0,1,3
CMU_16,745,17.591997,0,1,3
CMU_16,612,18.088346,0,1,3
CMU_16,654,17.682391,0,1,3
CMU_16,266,15.561153,0,1,3
CMU_16,632,17.552149,0,1,3
CMU_16,-6529,1000.000000,1,1,0
CMU_16,706,18.489288,0,1,3
CMU_16,698,17.987460,0,1,3
CMU_16,-5735,1000.000000,1,1,0
CMU_16,351,16.582151,0,1,3
CMU_16,475,16.635826,0,1,3
CMU_16,909,18.919519,0,1,3
CMU_16,546,17.244618,0,1,3
CMU_16,598,18.333186,0,1,3
CMU_16,583,19.606627,1,0,1
CMU_16,658,17.307007,0,1,3
CMU_16,600,18.073488,0,1,3
CMU_16,1446,16.890033,0,1,3
CMU_16,594,17.932979,0,1,3
CMU_16,902,18.236841,0,1,3
CMU_16,432,16.873866,0,1,3
