SID,RTms,ivec_cosine_dist,SAME_SPEAKER,RESPONSE,LABEL
CMU_13,780,1.059422,0,1,3
CMU_13,489,0.981999,0,1,3
CMU_13,288,1.020667,0,1,3
CMU_13,548,1.017691,0,1,3
CMU_13,325,0.995904,0,1,3
CMU_13,437,1.058828,0,1,3
CMU_13,-5808,0.648251,1,1,0
CMU_13,360,1.054271,0,1,3
CMU_13,776,0.936656,0,1,3
CMU_13,612,1.053416,0,1,3
CMU_13,-5582,0.683995,1,1,0
CMU_13,-70,NaN,0,0,1
CMU_13,339,1.056237,0,1,3
CMU_13,536,1.048136,0,1,3
CMU_13,442,0.876977,0,1,3
CMU_13,534,1.060868,0,1,3
CMU_13,582,0.941115,0,1,3
CMU_13,458,1.161350,0,1,3
CMU_13,663,1.065012,0,1,3
CMU_13,-6539,0.692981,1,1,0
CMU_13,532,0.847443,0,1,3
CMU_13,-5903,0.937953,1,1,0
CMU_13,353,0.962312,0,1,3
CMU_13,359,1.105084,0,1,3
CMU_13,375,1.208528,0,1,3
CMU_13,629,1.153207,0,1,3
CMU_13,778,0.953450,0,1,3
CMU_13,205,0.945691,0,0,1
CMU_13,653,1.045591,0,1,3
CMU_13,396,0.985211,0,1,3
CMU_13,376,1.128801,0,1,3
CMU_13,-6169,0.736783,1,1,0
CMU_13,648,1.098148,0,1,3
CMU_13,-6076,0.723478,1,1,0
CMU_13,685,0.912986,1,0,1
CMU_13,334,0.925951,0,1,3
CMU_13,826,0.967194,0,1,3
CMU_13,321,0.976506,0,1,3
CMU_13,81,0.906644,1,0,1
CMU_13,364,0.826405,0,1,3
CMU_13,444,1.122698,0,1,3
CMU_13,378,0.893441,0,1,3
CMU_13,221,1.035534,0,0,1
CMU_13,285,0.989775,0,1,3
CMU_13,645,0.980835,0,1,3
CMU_13,-6529,0.892217,1,1,0
CMU_13,482,0.930307,0,1,3
CMU_13,442,0.889335,0,1,3
CMU_13,-4485,NaN,1,0,1
CMU_13,299,1.186533,0,1,3
CMU_13,266,0.943387,0,1,3
CMU_13,1120,0.860469,0,1,3
CMU_13,391,0.984529,0,1,3
CMU_13,423,1.128678,0,1,3
CMU_13,546,0.816097,1,0,1
CMU_13,609,0.958975,0,1,3
CMU_13,682,0.819331,0,1,3
CMU_13,400,1.010597,0,1,3
CMU_13,500,0.884906,0,1,3
CMU_13,406,1.065557,0,1,3
CMU_13,471,1.048469,0,1,3
CMU_13,627,1.032955,0,1,3
CMU_13,-5637,0.611268,1,1,0
CMU_13,427,1.072883,0,1,3
CMU_13,-5747,0.632946,1,1,0
CMU_13,566,1.012333,0,1,3
CMU_13,609,0.962769,0,1,3
CMU_13,322,1.095567,0,1,3
CMU_13,325,1.042524,0,1,3
CMU_13,283,0.897474,0,1,3
CMU_13,380,1.173616,0,1,3
CMU_13,365,0.908509,0,1,3
CMU_13,737,0.894185,0,1,3
CMU_13,549,1.040724,0,1,3
CMU_13,466,1.030400,0,1,3
CMU_13,-7141,0.523526,1,1,0
CMU_13,373,0.734734,1,0,1
CMU_13,446,0.946891,0,1,3
CMU_13,-5499,0.907674,1,1,0
CMU_13,613,1.022589,0,1,3
CMU_13,297,0.944636,0,1,3
CMU_13,326,0.865988,0,1,3
CMU_13,293,0.912781,0,1,3
CMU_13,484,0.984364,0,1,3
CMU_13,540,0.933877,0,1,3
CMU_13,343,0.848674,0,1,3
CMU_13,265,0.865929,1,0,1
CMU_13,644,0.997869,0,1,3
CMU_13,655,0.948797,0,1,3
CMU_13,-126,NaN,1,0,1
CMU_13,373,0.893181,0,1,3
CMU_13,813,0.984096,0,1,3
CMU_13,402,0.801593,0,1,3
CMU_13,222,0.900853,0,0,1
CMU_13,371,0.972710,0,1,3
CMU_13,643,1.066939,0,1,3
CMU_13,485,0.660950,1,0,1
CMU_13,339,0.864240,0,1,3
CMU_13,446,0.939292,0,1,3
CMU_13,415,0.989874,0,1,3
CMU_13,368,0.927247,0,1,3
CMU_13,595,0.920615,0,1,3
CMU_13,345,0.911079,0,1,3
CMU_13,-5878,0.720919,1,1,0
CMU_13,784,1.089199,0,1,3
CMU_13,381,1.029402,0,1,3
CMU_13,139,0.960487,0,0,1
CMU_13,836,0.980176,0,1,3
CMU_13,374,0.876957,0,1,3
CMU_13,380,1.120343,0,1,3
CMU_13,591,1.001285,0,1,3
CMU_13,287,0.759239,1,0,1
CMU_13,472,0.768584,1,0,1
CMU_13,648,1.013895,0,1,3
CMU_13,726,0.997339,0,1,3
CMU_13,617,1.119219,0,1,3
CMU_13,258,1.173867,0,1,3
CMU_13,696,0.816720,0,1,3
CMU_13,313,0.828224,1,0,1
CMU_13,-5431,0.654711,1,1,0
CMU_13,557,0.718016,1,0,1
CMU_13,553,1.017832,0,1,3
CMU_13,428,1.069927,0,1,3
CMU_13,424,0.967620,0,1,3
CMU_13,560,0.966323,0,1,3
CMU_13,2814,0.652903,1,1,0
CMU_13,361,0.899589,0,1,3
CMU_13,401,1.140113,0,1,3
CMU_13,462,1.045986,0,1,3
CMU_13,498,0.981870,0,1,3
CMU_13,266,0.929803,0,1,3
CMU_13,675,0.954225,0,1,3
CMU_13,179,0.710288,1,0,1
CMU_13,495,1.061288,0,1,3
CMU_13,678,0.988482,0,1,3
CMU_13,476,0.989537,0,1,3
CMU_13,424,1.142902,0,1,3
CMU_13,255,1.054969,0,1,3
CMU_13,636,1.018438,0,1,3
CMU_13,376,1.127084,0,1,3
CMU_13,416,1.085705,0,1,3
CMU_13,-5832,0.766896,1,1,0
CMU_13,719,1.104616,0,1,3
CMU_13,539,1.203940,0,1,3
CMU_13,746,0.935021,0,1,3
CMU_13,334,0.925804,0,1,3
CMU_13,-5233,0.648100,1,1,0
CMU_13,634,0.917425,0,1,3
CMU_13,429,0.982985,0,1,3
CMU_13,-5754,0.652677,1,1,0
CMU_13,432,1.105239,0,1,3
CMU_13,592,0.960279,0,1,3
CMU_13,100,0.945042,1,0,1
CMU_13,433,0.987690,0,1,3
CMU_13,86,0.836583,0,0,1
CMU_13,422,1.041436,0,1,3
CMU_13,-5769,0.768995,1,1,0
CMU_13,375,1.118105,0,1,3
CMU_13,413,1.021756,0,1,3
CMU_13,516,0.951242,0,1,3
CMU_13,-5903,0.803391,1,1,0
CMU_13,-2683,NaN,0,0,1
CMU_13,398,0.944166,0,1,3
CMU_13,-1172,NaN,0,0,1
CMU_13,545,1.078922,0,1,3
CMU_13,427,0.934389,0,1,3
CMU_13,-6662,0.839605,1,1,0
CMU_13,407,1.206958,0,1,3
CMU_13,1610,0.677805,1,0,1
CMU_13,365,1.031393,0,1,3
CMU_13,570,1.101554,0,1,3
CMU_13,373,0.934189,0,1,3
CMU_13,-7463,0.799687,1,1,0
CMU_13,491,0.979964,0,1,3
CMU_13,403,0.991407,0,1,3
CMU_13,238,1.163229,0,1,3
CMU_13,563,0.958463,0,1,3
CMU_13,58,0.969358,0,0,1
CMU_13,242,0.946495,0,1,3
CMU_13,582,1.047638,0,1,3
CMU_13,429,1.033652,0,1,3
CMU_13,1537,0.929475,0,1,3
CMU_13,-5860,0.842145,1,1,0
CMU_13,-5185,0.751142,1,1,0
CMU_13,361,1.120214,0,1,3
CMU_13,468,1.143522,0,1,3
CMU_13,972,1.101886,0,1,3
CMU_13,420,0.875517,0,1,3
CMU_13,-6385,0.857511,1,1,0
CMU_13,248,1.006248,0,1,3
CMU_13,316,1.090369,0,1,3
CMU_13,324,0.946845,0,1,3
CMU_13,747,1.158924,0,1,3
CMU_13,767,1.160525,0,1,3
CMU_13,426,1.030112,0,1,3
CMU_13,431,0.751817,1,0,1
CMU_13,328,0.962157,0,1,3
CMU_13,452,1.087750,0,1,3
CMU_13,609,1.054471,0,1,3
CMU_13,345,1.050813,0,1,3
CMU-14,697,1.047071,0,1,3
CMU-14,950,1.002232,0,1,3
CMU-14,511,1.012000,0,1,3
CMU-14,906,0.974475,0,1,3
CMU-14,530,0.966516,0,1,3
CMU-14,518,1.083258,0,1,3
CMU-14,-5808,0.648251,1,1,0
CMU-14,711,1.069654,0,1,3
CMU-14,679,0.921145,0,1,3
CMU-14,959,0.952204,0,1,3
CMU-14,-5582,0.683995,1,1,0
CMU-14,549,0.950465,0,1,3
CMU-14,859,0.982139,0,1,3
CMU-14,1205,1.154962,0,1,3
CMU-14,900,0.964288,0,1,3
CMU-14,694,1.029825,0,1,3
CMU-14,714,0.997693,0,1,3
CMU-14,595,1.150204,0,1,3
CMU-14,924,1.046345,0,1,3
CMU-14,-6539,0.692981,1,1,0
CMU-14,663,0.883764,0,1,3
CMU-14,-5903,0.937953,1,1,0
CMU-14,511,0.942546,0,1,3
CMU-14,1019,1.116953,0,1,3
CMU-14,741,1.184126,0,1,3
CMU-14,847,1.063136,0,1,3
CMU-14,925,0.947359,0,1,3
CMU-14,470,1.035628,0,1,3
CMU-14,673,1.045066,0,1,3
CMU-14,747,0.939020,0,1,3
CMU-14,503,1.075623,0,1,3
CMU-14,-6169,0.736783,1,1,0
CMU-14,624,1.058613,0,1,3
CMU-14,-6076,0.723478,1,1,0
CMU-14,1756,0.814178,1,0,1
CMU-14,692,0.935875,0,1,3
CMU-14,723,0.959984,0,1,3
CMU-14,758,0.849012,0,1,3
CMU-14,-5637,0.723320,1,1,0
CMU-14,699,0.803367,0,1,3
CMU-14,939,1.087959,0,1,3
CMU-14,936,0.886187,0,1,3
CMU-14,1106,1.056435,0,1,3
CMU-14,75,1.033163,0,0,1
CMU-14,553,0.966429,0,1,3
CMU-14,-6529,0.892217,1,1,0
CMU-14,734,0.950101,0,1,3
CMU-14,1280,0.980817,0,1,3
CMU-14,-5735,0.924606,1,1,0
CMU-14,1159,1.097768,0,1,3
CMU-14,425,1.019662,0,1,3
CMU-14,831,0.892600,0,1,3
CMU-14,567,0.969004,0,1,3
CMU-14,500,1.128227,0,1,3
CMU-14,356,0.820284,1,0,1
CMU-14,1098,0.959561,0,1,3
CMU-14,383,0.837629,0,1,3
CMU-14,674,0.990120,0,1,3
CMU-14,750,0.837058,0,1,3
CMU-14,687,1.074755,0,1,3
CMU-14,483,1.045544,0,1,3
CMU-14,428,1.007571,0,1,3
CMU-14,-5637,0.611268,1,1,0
CMU-14,-4602,NaN,0,0,1
CMU-14,-5747,0.632946,1,1,0
CMU-14,823,0.987092,0,1,3
CMU-14,930,0.928025,0,1,3
CMU-14,354,1.108891,0,1,3
CMU-14,465,1.055450,0,1,3
CMU-14,546,1.006259,0,1,3
CMU-14,400,1.170588,0,1,3
CMU-14,722,0.965670,0,1,3
CMU-14,527,0.883897,0,1,3
CMU-14,652,1.002301,0,1,3
CMU-14,476,1.032124,0,1,3
CMU-14,-7141,0.523526,1,1,0
CMU-14,-6991,0.417996,1,1,0
CMU-14,764,1.003946,0,1,3
CMU-14,-5499,0.907674,1,1,0
CMU-14,582,0.998938,0,1,3
CMU-14,743,1.013588,0,1,3
CMU-14,591,0.814689,0,1,3
CMU-14,536,0.922536,0,1,3
CMU-14,580,1.007580,0,1,3
CMU-14,738,0.946918,0,1,3
CMU-14,800,0.901883,0,1,3
CMU-14,1033,0.783781,1,0,1
CMU-14,857,0.963135,0,1,3
CMU-14,1105,0.858462,0,1,3
CMU-14,-6495,0.796510,1,1,0
CMU-14,672,0.869411,0,1,3
CMU-14,1116,1.011063,0,1,3
CMU-14,1021,0.866383,0,1,3
CMU-14,1218,0.916666,0,1,3
CMU-14,669,1.041018,0,1,3
CMU-14,591,1.043346,0,1,3
CMU-14,695,0.588461,1,0,1
CMU-14,710,0.914755,0,1,3
CMU-14,570,1.001595,0,1,3
CMU-14,788,0.961325,0,1,3
CMU-14,950,0.872007,0,1,3
CMU-14,713,0.957855,0,1,3
CMU-14,-5274,0.926274,0,0,1
CMU-14,1643,0.696046,1,0,1
CMU-14,1145,1.059493,0,1,3
CMU-14,649,0.952536,0,1,3
CMU-14,1648,0.936930,0,1,3
CMU-14,632,0.955695,0,1,3
CMU-14,2667,0.936065,0,0,2
CMU-14,697,1.125522,0,1,3
CMU-14,694,0.978652,0,1,3
CMU-14,1034,0.745763,1,0,1
CMU-14,712,0.708639,1,0,1
CMU-14,667,1.012433,0,1,3
CMU-14,533,0.962868,0,1,3
CMU-14,707,1.129442,0,1,3
CMU-14,799,1.159273,0,1,3
CMU-14,704,0.816720,0,1,3
CMU-14,-5530,0.707318,1,1,0
CMU-14,-5431,0.654711,1,1,0
CMU-14,1109,0.721905,1,0,1
CMU-14,789,0.988679,0,1,3
CMU-14,587,1.081887,0,1,3
CMU-14,803,0.987425,0,1,3
CMU-14,610,0.979191,0,1,3
CMU-14,-6790,0.691530,1,1,0
CMU-14,1076,1.026274,0,1,3
CMU-14,656,1.186530,0,1,3
CMU-14,1198,1.096790,0,1,3
CMU-14,464,0.977176,0,1,3
CMU-14,737,0.815458,0,1,3
CMU-14,968,0.929375,0,1,3
CMU-14,-5355,0.661495,1,1,0
CMU-14,651,1.054635,0,1,3
CMU-14,322,1.041494,0,1,3
CMU-14,664,0.962929,0,1,3
CMU-14,1089,1.084120,0,1,3
CMU-14,407,1.060260,0,1,3
CMU-14,749,1.025471,0,1,3
CMU-14,675,1.212707,0,1,3
CMU-14,843,1.009195,0,1,3
CMU-14,-5832,0.766896,1,1,0
CMU-14,745,1.105943,0,1,3
CMU-14,660,1.193932,0,1,3
CMU-14,704,0.940320,0,1,3
CMU-14,469,0.927652,0,1,3
CMU-14,-5233,0.648100,1,1,0
CMU-14,729,0.913562,0,1,3
CMU-14,997,0.919640,0,1,3
CMU-14,-5754,0.652677,1,1,0
CMU-14,598,1.187364,0,1,3
CMU-14,715,0.952817,0,1,3
CMU-14,-6387,0.610384,1,1,0
CMU-14,772,0.984731,0,1,3
CMU-14,511,1.029173,0,1,3
CMU-14,993,1.022113,0,1,3
CMU-14,-5769,0.768995,1,1,0
CMU-14,660,1.153990,0,1,3
CMU-14,727,1.018565,0,1,3
CMU-14,1038,1.039510,0,1,3
CMU-14,-5903,0.803391,1,1,0
CMU-14,1129,0.955077,0,1,3
CMU-14,899,0.943965,0,1,3
CMU-14,1089,0.968414,0,1,3
CMU-14,774,1.071555,0,1,3
CMU-14,668,0.943974,0,1,3
CMU-14,-6662,0.839605,1,1,0
CMU-14,403,1.206958,0,1,3
CMU-14,755,0.820752,1,0,1
CMU-14,289,1.049026,0,1,3
CMU-14,726,1.120044,0,1,3
CMU-14,766,0.959024,0,1,3
CMU-14,-7463,0.799687,1,1,0
CMU-14,745,1.005433,0,1,3
CMU-14,1068,0.948458,0,1,3
CMU-14,518,1.031917,0,1,3
CMU-14,1313,0.949778,0,1,3
CMU-14,639,0.998636,0,1,3
CMU-14,527,0.870479,0,1,3
CMU-14,476,1.092927,0,1,3
CMU-14,663,1.104145,0,1,3
CMU-14,859,0.866716,0,1,3
CMU-14,-5860,0.842145,1,1,0
CMU-14,-5185,0.751142,1,1,0
CMU-14,1225,1.019557,0,1,3
CMU-14,738,1.202973,0,1,3
CMU-14,628,1.089135,0,1,3
CMU-14,489,0.913915,0,1,3
CMU-14,-6385,0.857511,1,1,0
CMU-14,958,0.969765,0,1,3
CMU-14,838,1.105609,0,1,3
CMU-14,690,0.989954,0,1,3
CMU-14,842,1.103362,0,1,3
CMU-14,717,1.151001,0,1,3
CMU-14,810,1.061895,0,1,3
CMU-14,-6213,0.613649,1,1,0
CMU-14,693,0.951112,0,1,3
CMU-14,1002,1.001661,0,1,3
CMU-14,573,1.057500,0,1,3
CMU-14,636,1.072881,0,1,3
cmu_15,606,1.026851,0,1,3
cmu_15,520,0.970597,0,1,3
cmu_15,234,1.020964,0,1,3
cmu_15,696,0.959991,0,1,3
cmu_15,553,0.975374,0,1,3
cmu_15,817,1.123875,0,1,3
cmu_15,-5808,0.648251,1,1,0
cmu_15,532,1.058630,0,1,3
cmu_15,2489,0.942902,0,0,2
cmu_15,719,1.008755,0,1,3
cmu_15,-5582,0.683995,1,1,0
cmu_15,931,0.986842,0,1,3
cmu_15,571,1.015659,0,1,3
cmu_15,799,1.060939,0,1,3
cmu_15,882,0.964504,0,1,3
cmu_15,524,1.058397,0,1,3
cmu_15,-484,NaN,0,0,1
cmu_15,654,1.122698,0,1,3
cmu_15,-6271,1.032262,0,0,1
cmu_15,-6539,0.692981,1,1,0
cmu_15,527,0.847443,0,1,3
cmu_15,34,1.037062,1,0,1
cmu_15,376,0.970497,0,1,3
cmu_15,469,1.193059,0,1,3
cmu_15,-5074,NaN,0,0,1
cmu_15,857,1.078033,0,1,3
cmu_15,814,0.962200,0,1,3
cmu_15,214,0.943678,0,0,1
cmu_15,711,1.046419,0,1,3
cmu_15,746,0.939020,0,1,3
cmu_15,292,1.125536,0,1,3
cmu_15,-6169,0.736783,1,1,0
cmu_15,1900,1.072213,0,1,3
cmu_15,-6076,0.723478,1,1,0
cmu_15,-5710,0.798695,1,1,0
cmu_15,987,0.932502,0,1,3
cmu_15,665,0.969995,0,1,3
cmu_15,916,0.856443,0,1,3
cmu_15,-5637,0.723320,1,1,0
cmu_15,742,0.796521,0,1,3
cmu_15,937,1.096273,0,1,3
cmu_15,318,0.900351,0,1,3
cmu_15,-6408,1.008895,0,0,1
cmu_15,616,1.111777,0,1,3
cmu_15,370,1.009630,0,1,3
cmu_15,-6529,0.892217,1,1,0
cmu_15,75,0.959900,0,0,1
cmu_15,609,0.903519,0,1,3
cmu_15,-5735,0.924606,1,1,0
cmu_15,610,1.094605,0,1,3
cmu_15,266,0.943387,0,1,3
cmu_15,4672,0.904693,0,0,2
cmu_15,1022,0.968727,0,1,3
cmu_15,1425,1.094611,0,1,3
cmu_15,345,0.817424,1,0,1
cmu_15,1040,0.965833,0,1,3
cmu_15,-1197,NaN,0,0,1
cmu_15,932,0.926211,0,1,3
cmu_15,746,0.837058,0,1,3
cmu_15,834,1.065666,0,1,3
cmu_15,836,1.056432,0,1,3
cmu_15,475,1.021273,0,1,3
cmu_15,-5637,0.611268,1,1,0
cmu_15,673,1.083532,0,1,3
cmu_15,-5747,0.632946,1,1,0
cmu_15,940,0.959026,0,1,3
cmu_15,658,0.976575,0,1,3
cmu_15,879,1.161870,0,1,3
cmu_15,652,0.992815,0,1,3
cmu_15,400,0.995701,0,1,3
cmu_15,856,1.267041,0,1,3
cmu_15,714,0.963693,0,1,3
cmu_15,622,0.883408,0,1,3
cmu_15,699,0.993327,0,1,3
cmu_15,3016,0.985839,0,0,2
cmu_15,-7141,0.523526,1,1,0
cmu_15,190,0.779994,1,0,1
cmu_15,779,1.005890,0,1,3
cmu_15,-5499,0.907674,1,1,0
cmu_15,677,1.024271,0,1,3
cmu_15,686,1.021718,0,1,3
cmu_15,394,0.872365,0,1,3
cmu_15,1715,0.897133,0,1,3
cmu_15,454,0.975034,0,1,3
cmu_15,210,0.997603,0,0,1
cmu_15,1093,0.896745,0,1,3
cmu_15,184,0.996592,1,0,1
cmu_15,607,1.015328,0,1,3
cmu_15,1197,0.874974,0,1,3
cmu_15,410,0.868194,1,0,1
cmu_15,608,0.880455,0,1,3
cmu_15,974,1.017339,0,1,3
cmu_15,1352,0.900388,0,1,3
cmu_15,635,0.944146,0,1,3
cmu_15,946,0.952105,0,1,3
cmu_15,889,1.100894,0,1,3
cmu_15,-5900,0.746720,1,1,0
cmu_15,372,0.872114,0,1,3
cmu_15,1031,1.024177,0,1,3
cmu_15,1062,0.968334,0,1,3
cmu_15,-6419,0.818534,0,0,1
cmu_15,1913,1.043934,0,1,3
cmu_15,867,1.050249,0,1,3
cmu_15,-5878,0.720919,1,1,0
cmu_15,2226,1.054772,0,0,2
cmu_15,883,0.956696,0,1,3
cmu_15,1885,0.939545,0,1,3
cmu_15,835,0.980176,0,1,3
cmu_15,889,0.836635,0,1,3
cmu_15,916,1.086745,0,1,3
cmu_15,1177,0.949924,0,1,3
cmu_15,-4560,NaN,1,0,1
cmu_15,390,0.785002,1,0,1
cmu_15,751,1.017318,0,1,3
cmu_15,400,1.009505,0,1,3
cmu_15,1546,1.165415,0,1,3
cmu_15,109,1.184844,0,0,1
cmu_15,1521,0.925471,0,1,3
cmu_15,-5530,0.707318,1,1,0
cmu_15,-5431,0.654711,1,1,0
cmu_15,618,0.746191,1,0,1
cmu_15,710,1.009325,0,1,3
cmu_15,1046,1.111177,0,1,3
cmu_15,1216,1.087102,0,1,3
cmu_15,957,1.087669,0,1,3
cmu_15,-6790,0.691530,1,1,0
cmu_15,383,0.898021,0,1,3
cmu_15,1434,1.101486,0,1,3
cmu_15,400,1.051144,0,1,3
cmu_15,609,1.025609,0,1,3
cmu_15,790,0.788388,0,1,3
cmu_15,-4694,NaN,0,0,1
cmu_15,-5355,0.661495,1,1,0
cmu_15,1978,1.152295,0,1,3
cmu_15,3024,1.074322,0,0,2
cmu_15,61,0.920853,0,0,1
cmu_15,746,1.105547,0,1,3
cmu_15,452,1.022525,0,1,3
cmu_15,609,1.014262,0,1,3
cmu_15,437,1.141267,0,1,3
cmu_15,1160,0.945123,0,1,3
cmu_15,-5832,0.766896,1,1,0
cmu_15,619,1.159047,0,1,3
cmu_15,408,1.178901,0,1,3
cmu_15,821,0.966563,0,1,3
cmu_15,743,0.991337,0,1,3
cmu_15,-5233,0.648100,1,1,0
cmu_15,3380,0.852963,0,0,2
cmu_15,935,0.905558,0,1,3
cmu_15,-5754,0.652677,1,1,0
cmu_15,799,1.183233,0,1,3
cmu_15,-6357,0.984275,0,0,1
cmu_15,-6387,0.610384,1,1,0
cmu_15,464,1.001775,0,1,3
cmu_15,473,1.039915,0,1,3
cmu_15,901,1.001721,0,1,3
cmu_15,1964,0.771765,1,0,1
cmu_15,1386,1.133690,0,1,3
cmu_15,1183,1.043391,0,1,3
cmu_15,1104,1.043299,0,1,3
cmu_15,-5903,0.803391,1,1,0
cmu_15,2410,0.878431,0,0,2
cmu_15,1025,0.940232,0,1,3
cmu_15,951,0.937511,0,1,3
cmu_15,928,1.028370,0,1,3
cmu_15,890,0.976411,0,1,3
cmu_15,-6662,0.839605,1,1,0
cmu_15,319,1.234387,0,1,3
cmu_15,-5676,0.702218,1,1,0
cmu_15,602,1.159784,0,1,3
cmu_15,734,1.118304,0,1,3
cmu_15,947,0.916132,0,1,3
cmu_15,-7463,0.799687,1,1,0
cmu_15,-4055,NaN,0,0,1
cmu_15,2454,1.014195,0,0,2
cmu_15,620,1.040836,0,1,3
cmu_15,1162,0.942023,0,1,3
cmu_15,938,0.940560,0,1,3
cmu_15,773,0.971145,0,1,3
cmu_15,-2518,NaN,0,0,1
cmu_15,591,1.060868,0,1,3
cmu_15,2041,0.971006,0,0,2
cmu_15,-5860,0.842145,1,1,0
cmu_15,-5185,0.751142,1,1,0
cmu_15,699,1.078181,0,1,3
cmu_15,583,1.148552,0,1,3
cmu_15,2180,1.109764,0,0,2
cmu_15,735,0.922079,0,1,3
cmu_15,-6385,0.857511,1,1,0
cmu_15,-6204,1.053113,0,0,1
cmu_15,1200,1.040308,0,1,3
cmu_15,713,0.996020,0,1,3
cmu_15,723,1.158616,0,1,3
cmu_15,743,1.154690,0,1,3
cmu_15,573,1.016737,0,1,3
cmu_15,869,0.695015,1,0,1
cmu_15,974,0.910736,0,1,3
cmu_15,979,0.993501,0,1,3
cmu_15,832,1.080993,0,1,3
cmu_15,1017,1.043365,0,1,3
CMU_16,1019,1.096290,0,1,3
CMU_16,524,0.968942,0,1,3
CMU_16,484,1.013915,0,1,3
CMU_16,598,0.974588,0,1,3
CMU_16,401,0.982809,0,1,3
CMU_16,401,1.026426,0,1,3
CMU_16,-5808,0.648251,1,1,0
CMU_16,387,1.047099,0,1,3
CMU_16,1774,0.954025,0,1,3
CMU_16,548,1.070617,0,1,3
CMU_16,-5582,0.683995,1,1,0
CMU_16,618,0.953307,0,1,3
CMU_16,494,1.067473,0,1,3
CMU_16,379,1.096098,0,1,3
CMU_16,666,0.996535,0,1,3
CMU_16,618,1.018924,0,1,3
CMU_16,686,0.971629,0,1,3
CMU_16,427,1.162019,0,1,3
CMU_16,434,1.015966,0,1,3
CMU_16,-6539,0.692981,1,1,0
CMU_16,611,0.853711,0,1,3
CMU_16,502,0.871520,1,0,1
CMU_16,496,0.944588,0,1,3
CMU_16,918,1.129330,0,1,3
CMU_16,664,1.183127,0,1,3
CMU_16,484,1.088062,0,1,3
CMU_16,597,0.953894,0,1,3
CMU_16,38,0.966872,0,0,1
CMU_16,706,1.047175,0,1,3
CMU_16,443,0.982432,0,1,3
CMU_16,378,1.120941,0,1,3
CMU_16,-6169,0.736783,1,1,0
CMU_16,656,1.103346,0,1,3
CMU_16,-6076,0.723478,1,1,0
CMU_16,484,0.838596,1,0,1
CMU_16,633,0.893157,0,1,3
CMU_16,520,1.002374,0,1,3
CMU_16,378,0.970086,0,1,3
CMU_16,-5637,0.723320,1,1,0
CMU_16,231,0.847696,0,1,3
CMU_16,745,1.068366,0,1,3
CMU_16,612,0.953151,0,1,3
CMU_16,654,1.023645,0,1,3
CMU_16,266,0.970353,0,1,3
CMU_16,632,0.980901,0,1,3
CMU_16,-6529,0.892217,1,1,0
CMU_16,706,0.943424,0,1,3
CMU_16,698,0.916401,0,1,3
CMU_16,-5735,0.924606,1,1,0
CMU_16,351,1.170140,0,1,3
CMU_16,475,1.000734,0,1,3
CMU_16,909,0.882042,0,1,3
CMU_16,546,0.965747,0,1,3
CMU_16,598,1.140534,0,1,3
CMU_16,583,0.795075,1,0,1
CMU_16,658,0.942837,0,1,3
CMU_16,600,0.831426,0,1,3
CMU_16,1446,0.909795,0,1,3
CMU_16,594,0.867836,0,1,3
CMU_16,902,1.079011,0,1,3
CMU_16,432,1.019692,0,1,3
CMU_16,513,1.027279,0,1,3
CMU_16,-5637,0.611268,1,1,0
CMU_16,565,1.023006,0,1,3
